City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Palafrugell,ES,41.9174,3.1631,34.56,88,38,7.0,scattered clouds
202,Jumla,NP,29.2747,82.1838,56.05,30,0,6.44,clear sky
203,Laguna,US,38.421,-121.4238,54.1,90,1,0.0,clear sky
204,Port Hedland,AU,-20.3167,118.5667,104.05,11,2,12.66,clear sky
205,Banjar,ID,-8.19,114.9675,85.86,76,86,1.39,overcast clouds
206,Camacha,PT,33.0833,-16.3333,58.42,72,20,23.02,few clouds
207,Moses Lake,US,47.1301,-119.2781,47.08,81,75,0.0,broken clouds
208,East London,ZA,-33.0153,27.9116,65.34,82,0,12.66,clear sky
209,Qasigiannguit,GL,68.8193,-51.1922,16.05,87,100,3.85,overcast clouds
210,Ugoofaaru,MV,5.6667,73.0,81.79,75,97,12.95,overcast clouds
211,Paysandu,UY,-32.3214,-58.0756,58.96,71,0,7.11,clear sky
212,Norden,DE,53.6,7.2,39.18,97,100,14.12,overcast clouds
213,Bhakkar,PK,31.6253,71.0657,73.26,16,0,3.33,clear sky
214,Ambon,ID,-3.6954,128.1814,85.26,70,84,4.09,light rain
215,Sobolevo,RU,54.4299,31.8996,33.28,97,100,15.12,snow
216,Boa Esperanca Do Sul,BR,-21.9925,-48.3908,66.11,98,22,3.42,few clouds
217,Narsaq,GL,60.9167,-46.05,37.62,99,100,7.27,moderate rain
218,Zhicheng,CN,30.2956,111.5047,64.47,27,2,5.37,clear sky
219,Alugan,PH,12.2188,125.4808,83.12,81,86,8.1,overcast clouds
220,Dabra,IN,25.9,78.3333,77.36,30,0,6.55,clear sky
221,Saint-Pierre,RE,-21.3393,55.4781,83.88,65,0,11.5,light rain
222,Lasa,IT,46.6166,10.7002,30.94,96,99,2.64,light snow
223,Veraval,IN,20.9,70.3667,83.46,35,2,2.13,clear sky
224,Roald,NO,62.5833,6.1333,26.74,86,0,11.5,clear sky
225,Sistranda,NO,63.7256,8.834,24.76,68,97,7.85,light snow
226,Isangel,VU,-19.55,169.2667,77.97,82,29,14.18,scattered clouds
227,Garissa,KE,-0.4536,39.6401,82.71,65,97,9.57,overcast clouds
228,Te Anau,NZ,-45.4167,167.7167,56.26,54,94,3.49,overcast clouds
229,Bud,US,39.447,-86.1758,32.02,47,78,4.79,broken clouds
230,Casper,US,42.8666,-106.3131,34.39,44,40,9.22,scattered clouds
231,Copiapo,CL,-27.3667,-70.3333,56.89,78,1,3.91,clear sky
232,Lamu,KE,-2.2717,40.902,84.42,75,71,5.17,light rain
233,Longyearbyen,SJ,78.2186,15.6401,8.44,85,90,6.91,snow
234,Alberdi,AR,-32.8899,-60.6906,68.02,73,0,8.05,clear sky
235,Kongolo,CD,-5.3833,27.0,69.24,98,100,0.47,overcast clouds
236,Sao Filipe,CV,14.8961,-24.4956,77.09,75,8,10.45,clear sky
237,Zhangjiakou,CN,40.81,114.8794,38.52,39,2,3.15,clear sky
238,Baykit,RU,61.67,96.37,3.2,96,100,4.32,overcast clouds
239,Broken Hill,AU,-31.95,141.4333,73.11,38,75,20.71,broken clouds
240,Kahului,US,20.8947,-156.47,73.42,64,1,11.5,clear sky
241,Mareeba,AU,-17.0,145.4333,83.12,64,75,4.27,broken clouds
242,Macau,MO,22.2006,113.5461,76.71,49,0,11.5,clear sky
243,Qaqortoq,GL,60.7167,-46.0333,37.9,98,100,6.24,moderate rain
244,Gambela,ET,8.25,34.5833,84.33,44,6,3.24,clear sky
245,Maniitsoq,GL,65.4167,-52.9,33.58,96,100,7.4,light rain
246,Westport,US,41.1415,-73.3579,39.02,64,20,12.66,few clouds
247,Batagay-Alyta,RU,67.8006,130.4114,-7.96,99,100,0.96,overcast clouds
248,Qui Nhon,VN,13.7667,109.2333,75.42,96,100,24.54,moderate rain
249,Khandyga,RU,62.6667,135.6,-1.3,82,82,4.05,broken clouds
250,Terney,RU,45.0503,136.6092,33.62,64,49,10.85,scattered clouds
251,Mujiayingzi,CN,42.1167,118.7833,40.93,40,0,7.7,clear sky
252,Loreto,MX,22.2667,-101.9667,52.07,84,82,7.02,broken clouds
253,Saint-Philippe,RE,-21.3585,55.7679,83.79,79,43,10.83,light rain
254,Yuma,US,32.7253,-114.6244,63.37,28,1,5.75,clear sky
255,Mount Gambier,AU,-37.8333,140.7667,69.71,46,75,14.97,broken clouds
256,Ilulissat,GL,69.2167,-51.1,15.82,79,100,2.3,overcast clouds
257,Shimoda,JP,34.6667,138.95,59.11,60,30,6.4,scattered clouds
258,Nagaur,IN,27.2,73.7333,80.33,18,0,2.84,clear sky
259,Aquiraz,BR,-3.9014,-38.3911,82.49,75,38,12.73,scattered clouds
260,Rudbar,AF,30.15,62.6,58.28,38,0,3.89,clear sky
261,Wanning,CN,18.8003,110.3967,76.28,75,96,18.77,overcast clouds
262,Lago Da Pedra,BR,-4.3333,-45.1667,72.3,97,92,2.82,overcast clouds
263,Bandarbeyla,SO,9.4942,50.8122,82.38,69,78,11.72,broken clouds
264,Catuday,PH,16.2923,119.8062,84.15,67,88,8.08,overcast clouds
265,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.29,94,99,6.87,light rain
266,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,74,75,4.47,broken clouds
267,Sirari,TZ,-1.2333,34.4333,69.91,63,77,9.46,broken clouds
268,Walvis Bay,NA,-22.9575,14.5053,52.75,87,0,5.75,clear sky
269,Astana,KZ,51.1801,71.446,15.75,86,40,24.61,scattered clouds
270,Gornopravdinsk,RU,60.05,69.9,25.97,95,100,11.18,light snow
271,Svetlogorsk,BY,52.6333,29.7333,39.67,90,100,16.75,overcast clouds
272,Ituporanga,BR,-27.4144,-49.6025,64.45,90,53,2.15,broken clouds
273,Kloulklubed,PW,7.0419,134.2556,84.7,77,12,13.44,few clouds
274,Salalah,OM,17.0151,54.0924,86.09,26,0,1.14,clear sky
275,Sarahan,IN,31.5167,77.8,55.11,19,16,5.68,few clouds
276,Tomatlan,MX,19.9333,-105.25,70.36,90,80,4.25,broken clouds
277,Cuamba,MZ,-14.8031,36.5372,74.5,63,86,7.49,overcast clouds
278,Acarau,BR,-2.8856,-40.12,79.99,79,27,13.15,scattered clouds
279,Luanda,AO,-8.8368,13.2343,77.0,83,75,9.22,broken clouds
280,Talnakh,RU,69.4865,88.3972,2.07,94,100,11.95,overcast clouds
281,Orichi,RU,58.4036,49.0572,33.67,89,100,12.71,overcast clouds
282,Samarai,PG,-10.6167,150.6667,83.68,73,88,5.68,overcast clouds
283,Marsh Harbour,BS,26.5412,-77.0636,73.17,67,83,10.78,broken clouds
284,Pundaguitan,PH,6.3711,126.1689,83.08,75,98,11.12,moderate rain
285,Monrovia,LR,6.3005,-10.7969,76.77,85,17,4.63,light rain
286,Pisco,PE,-13.7,-76.2167,64.45,88,0,6.91,clear sky
287,Sandi,IN,27.3,79.95,74.46,35,0,4.92,clear sky
288,Gari,RU,59.4307,62.3497,31.69,78,100,15.21,overcast clouds
289,Chapais,CA,49.7834,-74.8492,19.18,90,100,13.65,overcast clouds
290,Emporia,US,38.4039,-96.1817,52.0,37,1,12.66,clear sky
291,Hithadhoo,MV,-0.6,73.0833,81.36,71,80,13.82,broken clouds
292,Aykhal,RU,66.0,111.5,-3.87,99,100,4.94,overcast clouds
293,Lethem,GY,3.3803,-59.7968,75.96,85,80,6.62,broken clouds
294,Scottsbluff,US,41.8666,-103.6672,52.23,30,1,5.75,clear sky
295,Faanui,PF,-16.4833,-151.75,81.54,72,14,19.93,few clouds
296,Zima,RU,53.9202,102.0442,15.64,72,71,0.83,broken clouds
297,Kostomuksha,RU,64.571,30.5767,10.65,97,93,1.41,overcast clouds
298,Zlobin,HR,45.2924,14.6541,42.1,87,75,8.05,broken clouds
299,Luderitz,NA,-26.6481,15.1594,62.4,70,0,5.21,clear sky
300,Palmer,US,42.1584,-72.3287,35.2,64,90,16.11,overcast clouds
301,Mabaruma,GY,8.2,-59.7833,73.13,99,100,1.23,overcast clouds
302,Tuatapere,NZ,-46.1333,167.6833,55.51,56,100,8.57,overcast clouds
303,Mar Del Plata,AR,-38.0023,-57.5575,55.85,95,24,9.71,few clouds
304,Dzaoudzi,YT,-12.7887,45.2699,82.29,83,75,6.91,light rain
305,Otofuke,JP,42.9917,143.2003,41.95,63,30,12.44,scattered clouds
306,Torbay,CA,47.6666,-52.7314,45.37,100,90,8.05,light intensity drizzle
307,Seymchan,RU,62.8833,152.4333,-40.43,100,78,0.78,broken clouds
308,Novikovo,RU,51.1537,37.8879,36.05,81,100,17.02,overcast clouds
309,Arman,RU,59.7,150.1667,-4.5,78,8,6.04,clear sky
310,Nanortalik,GL,60.1432,-45.2371,43.86,96,100,15.26,moderate rain
311,Ouargaye,BF,11.5033,0.0572,74.75,26,7,8.5,clear sky
312,Ahipara,NZ,-35.1667,173.1667,65.88,65,97,3.44,overcast clouds
313,Namtsy,RU,62.7161,129.6658,-2.09,98,100,1.77,overcast clouds
314,Itaituba,BR,-4.2761,-55.9836,73.15,98,95,1.07,overcast clouds
315,Chicama,PE,-7.8447,-79.1469,65.79,81,83,5.03,broken clouds
316,Bergen,NO,60.392,5.328,32.41,86,0,3.44,clear sky
317,Puerto Escondido,MX,15.85,-97.0667,76.84,65,50,5.79,scattered clouds
318,Puerto Leguizamo,CO,-0.1934,-74.7819,74.82,83,97,1.83,overcast clouds
319,Ancud,CL,-41.8697,-73.8203,47.73,87,64,4.12,broken clouds
320,Haines Junction,CA,60.7522,-137.5108,-7.65,77,99,5.75,light snow
321,Riachao Do Jacuipe,BR,-11.8069,-39.3856,69.66,90,95,2.17,overcast clouds
322,Lunca Muresului,RO,46.4333,23.9,37.71,93,90,4.61,overcast clouds
323,Caravelas,BR,-17.7125,-39.2481,69.44,88,53,6.22,broken clouds
324,San Cristobal,VE,7.7669,-72.225,68.18,95,99,1.43,overcast clouds
325,Nekhayevskiy,RU,50.4106,41.7561,31.46,93,60,12.1,broken clouds
326,Havelock,US,34.8791,-76.9013,42.78,55,0,9.19,clear sky
327,Pushkino,RU,56.0172,37.8667,37.69,93,100,10.13,overcast clouds
328,Broome,US,42.2506,-75.833,29.17,80,90,17.27,overcast clouds
329,Yeniseysk,RU,58.4497,92.1703,10.27,91,100,8.61,overcast clouds
330,Tiarei,PF,-17.5333,-149.3333,82.42,75,6,17.65,clear sky
331,Simplicio Mendes,BR,-7.8539,-41.9103,75.02,70,85,2.33,overcast clouds
332,Oktyabrskiy,RU,54.4815,53.471,23.18,91,88,14.58,overcast clouds
333,Puerto Madryn,AR,-42.7692,-65.0385,58.84,80,100,10.94,overcast clouds
334,Cranbrook,CA,49.4999,-115.7688,39.04,60,75,8.05,broken clouds
335,Caraballeda,VE,10.6112,-66.8522,80.67,69,20,0.0,few clouds
336,Poum,NC,-20.2333,164.0167,80.38,73,8,8.43,clear sky
337,North Bend,US,43.4065,-124.2243,53.51,100,90,0.0,overcast clouds
338,Constitucion,CL,-35.3333,-72.4167,50.5,87,2,8.41,clear sky
339,Siniscola,IT,40.5719,9.6922,47.75,82,66,5.19,broken clouds
340,Tabuk,PH,17.4189,121.4443,81.73,74,65,1.97,broken clouds
341,Hasaki,JP,35.7333,140.8333,54.0,29,40,17.36,scattered clouds
342,Yatou,CN,37.15,122.3833,50.25,41,0,2.82,clear sky
343,El Alto,PE,-4.2714,-81.2147,63.43,86,90,13.11,overcast clouds
344,Husavik,IS,66.0449,-17.3389,31.91,69,100,14.47,overcast clouds
