City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Adrar,MR,2021-11-23 19:45:22,20.5022,-10.0711,80.51,30,85,7.38
135,Mapiripan,CO,2021-11-23 19:45:23,2.8892,-72.1256,78.13,88,98,1.77
136,Kaeo,NZ,2021-11-23 19:45:23,-35.1,173.7833,62.33,96,95,8.66
137,Constitucion,CL,2021-11-23 19:45:23,-35.3333,-72.4167,64.15,72,4,10.54
138,Cockburn Town,TC,2021-11-23 19:41:57,21.4612,-71.1419,80.94,75,64,15.64
139,Port Elizabeth,ZA,2021-11-23 19:36:38,-33.918,25.5701,61.11,77,90,11.5
140,Pochutla,MX,2021-11-23 19:46:24,15.7432,-96.4661,88.83,51,2,8.32
141,Port-De-Bouc,FR,2021-11-23 19:46:25,43.4,4.9833,57.96,79,0,9.22
142,Cape Town,ZA,2021-11-23 19:46:25,-33.9258,18.4232,65.1,66,20,21.85
143,Shingu,JP,2021-11-23 19:46:26,33.7333,135.9833,49.23,73,35,13.91
144,Qixia,CN,2021-11-23 19:46:26,37.2975,120.8256,32.36,50,0,5.01
145,Anan,JP,2021-11-23 19:46:26,33.9167,134.65,49.26,67,57,14.74
146,Georgetown,MY,2021-11-23 19:46:27,5.4112,100.3354,78.89,92,40,3.0
147,Nizhniy Kuranakh,RU,2021-11-23 19:46:28,58.8353,125.4869,-9.02,97,100,2.98
148,Balykshi,KZ,2021-11-23 19:46:28,47.0667,51.8667,42.8,100,75,13.42
149,San Cristobal,VE,2021-11-23 19:45:25,7.7669,-72.225,78.98,56,75,4.97
150,Asau,RO,2021-11-23 19:36:48,46.4333,26.4,33.76,93,80,2.28
151,Srednekolymsk,RU,2021-11-23 19:46:29,67.45,153.6833,-25.11,98,100,5.12
152,Itaituba,BR,2021-11-23 19:46:29,-4.2761,-55.9836,91.56,58,20,5.75
153,Torbay,CA,2021-11-23 19:45:05,47.6666,-52.7314,41.58,89,90,20.71
154,Ubinskoye,RU,2021-11-23 19:46:30,55.3068,79.6802,23.59,92,100,16.4
155,Kikwit,CD,2021-11-23 19:46:30,-5.041,18.8162,71.08,94,28,0.07
156,Talcahuano,CL,2021-11-23 19:46:31,-36.7167,-73.1167,60.48,77,75,14.97
157,Alofi,NU,2021-11-23 19:39:26,-19.0595,-169.9187,78.69,78,75,4.61
158,Dingle,PH,2021-11-23 19:46:31,10.9995,122.6711,75.65,90,84,7.7
159,Hefei,CN,2021-11-23 19:46:32,31.8639,117.2808,35.62,69,0,6.71
160,Olean,US,2021-11-23 19:46:32,42.0776,-78.4297,37.09,65,100,10.07
161,Sitka,US,2021-11-23 19:46:33,57.0531,-135.33,35.49,87,90,9.22
162,Vanimo,PG,2021-11-23 19:46:33,-2.6741,141.3028,77.27,88,100,4.36
163,Haizhou,CN,2021-11-23 19:46:34,34.5817,119.1289,36.59,47,0,5.82
164,Madingou,CG,2021-11-23 19:46:34,-4.1536,13.55,74.19,95,98,3.6
165,Omboue,GA,2021-11-23 19:42:44,-1.5746,9.2618,75.29,86,100,2.26
166,Chik,RU,2021-11-23 19:46:35,54.9928,82.4311,28.15,74,75,13.42
167,Besenyszog,HU,2021-11-23 19:46:36,47.3,20.2667,33.84,86,0,4.61
168,Ilulissat,GL,2021-11-23 19:46:36,69.2167,-51.1,12.22,52,75,18.41
169,Klaksvik,FO,2021-11-23 19:46:37,62.2266,-6.589,47.32,89,100,30.58
170,Nome,US,2021-11-23 19:40:46,64.5011,-165.4064,6.87,51,1,11.5
171,Turukhansk,RU,2021-11-23 19:46:37,65.8167,87.9833,19.58,95,100,14.18
172,Tripoli,LY,2021-11-23 19:46:38,32.8752,13.1875,68.58,61,55,6.67
173,Saint Anthony,US,2021-11-23 19:46:38,45.0205,-93.218,53.92,38,1,13.8
174,Kilosa,TZ,2021-11-23 19:46:39,-6.8333,36.9833,74.39,79,34,6.06
175,Tapes,BR,2021-11-23 19:46:39,-30.6733,-51.3958,71.01,52,12,13.38
176,Cayenne,GF,2021-11-23 19:46:40,4.9333,-52.3333,86.04,80,94,5.01
177,Khandbari,NP,2021-11-23 19:46:40,27.3747,87.2039,54.28,82,30,2.42
178,Bagontapay,PH,2021-11-23 19:46:41,6.8589,124.9089,74.71,87,98,1.66
179,Avera,US,2021-11-23 19:46:41,33.194,-82.5271,55.27,23,1,5.93
180,Qui Nhon,VN,2021-11-23 19:46:41,13.7667,109.2333,76.19,88,100,17.05
181,Lerwick,GB,2021-11-23 19:46:42,60.1545,-1.1494,50.0,85,100,23.87
182,Anna Paulowna,NL,2021-11-23 19:47:43,52.862,4.834,47.01,90,90,2.3
183,Kitimat,CA,2021-11-23 19:47:43,54.0524,-128.6534,39.9,29,95,4.72
184,Zonguldak,TR,2021-11-23 19:47:43,41.25,31.8333,47.55,96,100,1.34
185,Fecamp,FR,2021-11-23 19:47:44,49.7579,0.3746,45.55,92,27,10.94
186,Nanortalik,GL,2021-11-23 19:47:44,60.1432,-45.2371,31.96,63,100,9.13
187,Narsaq,GL,2021-11-23 19:47:45,60.9167,-46.05,21.42,62,100,8.39
188,Longyearbyen,SJ,2021-11-23 19:47:45,78.2186,15.6401,4.84,72,20,11.5
189,Iquitos,PE,2021-11-23 19:47:46,-3.7481,-73.2472,84.24,74,75,14.97
190,Cholet,FR,2021-11-23 19:47:46,47.1667,-1.0,42.31,63,0,19.22
191,Wakkanai,JP,2021-11-23 19:47:47,45.4094,141.6739,32.58,71,100,28.27
192,Mzimba,MW,2021-11-23 19:47:47,-11.9,33.6,72.57,33,75,6.71
193,Mponela,MW,2021-11-23 19:47:48,-13.5319,33.7401,75.76,35,98,4.34
194,Tigil,RU,2021-11-23 19:40:50,57.8,158.6667,19.26,83,55,9.64
195,Manono,CD,2021-11-23 19:47:48,-7.3,27.4167,70.16,95,95,2.13
196,Satipo,PE,2021-11-23 19:47:49,-11.2522,-74.6386,82.69,66,100,2.57
197,Katsuura,JP,2021-11-23 19:47:49,35.1333,140.3,54.19,60,0,32.84
198,San Jose,US,2021-11-23 19:46:50,37.3394,-121.895,67.1,53,40,0.0
199,Quincy,US,2021-11-23 19:47:32,42.2529,-71.0023,41.11,41,20,1.01
200,Bilma,NE,2021-11-23 19:47:50,18.6853,12.9164,78.78,18,0,7.7
201,Gizo,SB,2021-11-23 19:47:51,-8.103,156.8419,82.58,76,62,7.61
202,Phan Thiet,VN,2021-11-23 19:42:54,10.9333,108.1,73.69,85,90,6.73
203,Northam,GB,2021-11-23 19:47:51,51.0333,-4.2167,46.29,92,25,4.52
204,Victoria,HK,2021-11-23 19:47:42,22.2855,114.1577,64.33,65,71,1.01
205,Dikson,RU,2021-11-23 19:47:52,73.5069,80.5464,0.23,95,100,13.85
206,Hualmay,PE,2021-11-23 19:47:52,-11.0964,-77.6139,69.01,75,100,10.42
207,Buala,SB,2021-11-23 19:47:53,-8.145,159.5921,81.27,80,83,7.02
208,Villa Rica,US,2021-11-23 19:47:53,33.7321,-84.9191,55.54,36,0,7.94
